1, "Max", "Verstappen", "1", "Paises Bajos", "26", 1
2, "Sergio", "Pérez", "11", "Mexico", "33", 1
3, "Charles", "Leclerc", "16", "Monaco", "26", 2
4, "Carlos", "Sainz", "55", "España", "29", 2
5, "George", "Russell", "63", "Reino Unido", "25", 3
6, "Lewis", "Hamilton", "44", "Reino Unido", "38", 3
7, "Esteban", "Ocon", "31", "Francia", "27", 4
8, "Pierre", "Gasly", "10", "Francia", "27", 4
9, "Lando", "Norris", "4", "Reino Unido", "24", 5
10, "Oscar", "Piastri", "81", "Australia", "22", 5
11, "Valtteri", "Bottas", "77", "Finlandia", "34", 6
12, "Guanyu", "Zhou", "24", "China", "24", 6
13, "Fernando", "Alonso", "14", "España", "42", 7
14, "Lance", "Stroll", "18", "Canada", "25", 7
15, "Kevin", "Magnussen", "20", "Dinamarca", "31", 8
16, "Nico", "Hulkenberg", "27", "Alemania", "36", 8
17, "Yuki", "Tsunoda", "22", "Japon", "23", 9
18, "Nyck", "de Vries", "21", "Paises Bajos", "28", 9
19, "Alexander", "Albon", "23", "Tailandia", "27", 10
20, "Logan", "Sargeant", "2", "Estados Unidos", "22", 10